ms,Sensor 1 (kg),Sensor 2 (kg),Sensor  3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1694053,0,0.00937672,0.239312,0.375064,5.81677,14.549,0.623753
1694063,0.0650096,0.0843905,1.12565,1.35198,2.33824,13.2939,2.62703
1694073,0.0650096,0.0843905,1.12565,1.35198,2.33824,13.2939,2.62703
1694083,0.151689,0.121897,2.32221,2.7999,2.07524,13.4789,5.39569
1694115,0.151689,0.121897,2.32221,2.7999,2.07524,13.4789,5.39569
1694122,0.184194,0.187534,4.03285,4.63161,1.6658,13.7659,9.03618
1694125,0.411727,0.309432,5.77007,6.73371,1.62825,13.3641,13.2249
1694136,0.585086,0.590734,7.46298,8.60903,1.66933,12.9548,17.2478
1694146,0.845124,0.909542,9.24453,10.5803,1.62213,12.5606,21.5795
1694153,0.845124,0.909542,9.24453,10.5803,1.62213,12.5606,21.5795
1694167,1.21351,1.17209,10.574,12.2899,1.65789,12.1656,25.2495
1694181,1.21351,1.17209,10.574,12.2899,1.65789,12.1656,25.2495
1694191,1.41938,1.57529,11.5579,13.4674,1.84285,11.7937,28.02
1694202,1.72275,1.84721,12.391,14.4182,1.77061,11.4746,30.3792
1694210,1.72275,1.84721,12.391,14.4182,1.77061,11.4746,30.3792
1694218,1.98279,2.06288,13.2774,15.5172,1.76605,11.3042,32.8402
1694228,2.21033,2.39106,14.3321,16.7819,1.84133,11.135,35.7154
1694238,2.21033,2.39106,14.3321,16.7819,1.84133,11.135,35.7154
1694245,2.5137,2.67237,15.1298,17.5421,1.69778,10.8904,37.858
1694268,2.57871,2.78489,15.2894,17.7648,1.74504,10.8116,38.4178
1694278,2.7304,2.90678,15.183,17.7938,1.80454,10.6204,38.614
1694288,2.7304,2.90678,15.183,17.7938,1.80454,10.6204,38.614
1694304,2.64372,2.87865,14.8107,17.4453,1.89891,10.6147,37.7784
1694314,2.60038,2.77551,14.3055,16.8343,1.85117,10.5834,36.5157
1694324,2.32951,2.60673,13.3571,15.8138,2.00385,10.6582,34.1071
1694334,2.32951,2.60673,13.3571,15.8138,2.00385,10.6582,34.1071
1694344,2.05864,2.3348,12.2049,14.4967,2.06459,10.7613,31.095
1694354,1.89611,1.99724,11.0881,13.1709,1.93934,10.8511,28.1523
1694377,1.59273,1.67843,9.9536,11.8887,2.01164,11.0923,25.1134
1694400,1.26769,1.31274,8.65954,10.371,2.03193,11.4179,21.6109
1694405,0.985978,1.06895,7.25912,8.73114,2.1543,11.5837,18.0452
1694420,0.985978,1.06895,7.25912,8.73114,2.1543,11.5837,18.0452
1694426,0.693435,0.693878,5.72576,6.88199,2.06622,12.0261,13.9951
1694439,0.465902,0.459459,4.28102,5.18112,2.15079,12.3275,10.3875
1694450,0.465902,0.459459,4.28102,5.18112,2.15079,12.3275,10.3875
1694457,0.314213,0.271925,3.21741,3.74192,1.59771,12.6696,7.54547
